@N: MF284 |Setting synthesis effort to medium for the design
@N: MF915 |Option synthesis_strategy=advanced is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: MF284 |Setting synthesis effort to medium for the design
@N: MT206 |Auto Constrain mode is enabled
@N: MF236 :"/home/gfa2226/fpga/hw3/motion_detect/grayscale.sv":37:61:37:149|Generating a type div divider 
@N: MF236 :"/home/gfa2226/fpga/hw3/motion_detect/grayscale.sv":37:61:37:149|Generating a type div divider 
@N: MO231 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":55:4:55:12|Found counter in view:work.motion_detect_top(verilog) instance pre_highlight_frame_fifo.rd_addr[5:0] 
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":42:4:42:12|Removing sequential instance pre_highlight_frame_fifo.wr_addr[0] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":42:4:42:12|Removing sequential instance pre_highlight_frame_fifo.wr_addr[1] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":42:4:42:12|Removing sequential instance pre_highlight_frame_fifo.wr_addr[2] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":42:4:42:12|Removing sequential instance pre_highlight_frame_fifo.wr_addr[3] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":42:4:42:12|Removing sequential instance pre_highlight_frame_fifo.wr_addr[4] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":42:4:42:12|Removing sequential instance pre_highlight_frame_fifo.wr_addr[5] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: FA331 :"/home/gfa2226/fpga/hw3/motion_detect/highlight.sv":1:7:1:15|Found black box highlight without a syn_resources attribute. Reports exclude any lcells for this instance 
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[0] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[1] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[2] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[3] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[4] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[5] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[6] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[7] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[8] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[9] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[10] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"/home/gfa2226/fpga/hw3/motion_detect/fifo.sv":50:4:50:12|Removing sequential instance final_fifo.dout[11] (in view: work.motion_detect_top(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
